Week,dengue
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,28
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,0
2004-05-09,28
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,33
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,0
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,25
2004-08-29,24
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,23
2004-10-03,23
2004-10-10,0
2004-10-17,23
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,24
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,0
2004-12-26,35
2005-01-02,0
2005-01-09,0
2005-01-16,0
2005-01-23,21
2005-01-30,0
2005-02-06,0
2005-02-13,0
2005-02-20,21
2005-02-27,0
2005-03-06,19
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,0
2005-05-01,18
2005-05-08,0
2005-05-15,17
2005-05-22,0
2005-05-29,22
2005-06-05,20
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,0
2005-07-24,0
2005-07-31,21
2005-08-07,0
2005-08-14,16
2005-08-21,37
2005-08-28,46
2005-09-04,30
2005-09-11,15
2005-09-18,58
2005-09-25,37
2005-10-02,28
2005-10-09,14
2005-10-16,0
2005-10-23,13
2005-10-30,0
2005-11-06,16
2005-11-13,14
2005-11-20,16
2005-11-27,0
2005-12-04,15
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,22
2006-02-05,0
2006-02-12,0
2006-02-19,11
2006-02-26,10
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,9
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,9
2006-04-30,0
2006-05-07,19
2006-05-14,0
2006-05-21,0
2006-05-28,0
2006-06-04,21
2006-06-11,0
2006-06-18,0
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,9
2006-08-13,0
2006-08-20,8
2006-08-27,0
2006-09-03,0
2006-09-10,8
2006-09-17,12
2006-09-24,0
2006-10-01,8
2006-10-08,31
2006-10-15,7
2006-10-22,7
2006-10-29,8
2006-11-05,11
2006-11-12,22
2006-11-19,17
2006-11-26,0
2006-12-03,12
2006-12-10,16
2006-12-17,9
2006-12-24,10
2006-12-31,0
2007-01-07,0
2007-01-14,7
2007-01-21,7
2007-01-28,0
2007-02-04,6
2007-02-11,0
2007-02-18,6
2007-02-25,0
2007-03-04,12
2007-03-11,0
2007-03-18,9
2007-03-25,9
2007-04-01,7
2007-04-08,0
2007-04-15,6
2007-04-22,11
2007-04-29,0
2007-05-06,0
2007-05-13,0
2007-05-20,12
2007-05-27,7
2007-06-03,0
2007-06-10,10
2007-06-17,0
2007-06-24,6
2007-07-01,6
2007-07-08,19
2007-07-15,0
2007-07-22,7
2007-07-29,12
2007-08-05,11
2007-08-12,12
2007-08-19,12
2007-08-26,40
2007-09-02,18
2007-09-09,26
2007-09-16,21
2007-09-23,24
2007-09-30,94
2007-10-07,97
2007-10-14,100
2007-10-21,48
2007-10-28,30
2007-11-04,25
2007-11-11,17
2007-11-18,5
2007-11-25,24
2007-12-02,9
2007-12-09,5
2007-12-16,11
2007-12-23,7
2007-12-30,6
2008-01-06,5
2008-01-13,10
2008-01-20,5
2008-01-27,18
2008-02-03,9
2008-02-10,4
2008-02-17,4
2008-02-24,0
2008-03-02,4
2008-03-09,4
2008-03-16,0
2008-03-23,4
2008-03-30,0
2008-04-06,4
2008-04-13,4
2008-04-20,4
2008-04-27,4
2008-05-04,4
2008-05-11,4
2008-05-18,0
2008-05-25,0
2008-06-01,0
2008-06-08,5
2008-06-15,5
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,5
2008-07-20,5
2008-07-27,0
2008-08-03,5
2008-08-10,4
2008-08-17,11
2008-08-24,18
2008-08-31,4
2008-09-07,0
2008-09-14,6
2008-09-21,10
2008-09-28,12
2008-10-05,8
2008-10-12,4
2008-10-19,10
2008-10-26,9
2008-11-02,4
2008-11-09,8
2008-11-16,10
2008-11-23,9
2008-11-30,4
2008-12-07,4
2008-12-14,5
2008-12-21,0
2008-12-28,0
